NODE LEDGER - every node in every package, enumerated and typed.
Proof of complete traversal: 259 nodes across 9 packages.

PACKAGE                                    DEPTH  NODE                                                     TYPE
02_scope_site_and_web_intelligence.json        4          Set_varCollectionAccumulator_Append              Foreach
02_scope_site_and_web_intelligence.json        5            Append_Set_varCollectionAccumulator_Append     AppendToArrayVariable
02_scope_site_and_web_intelligence.json        4          Compose_Web_Collection_Next_Link                 Compose
02_scope_site_and_web_intelligence.json        4          Set_varCollectionNextUri_Next                    SetVariable
02_scope_site_and_web_intelligence.json        4          Set_varCollectionPagingDone                      SetVariable
02_scope_site_and_web_intelligence.json        3        Set_varWebCollections_Store                        SetVariable
02_scope_site_and_web_intelligence.json        3        Append_Web_Collection_Error                        If
02_scope_site_and_web_intelligence.json        4          Append_Error_Web_Collection                      AppendToArrayVariable
02_scope_site_and_web_intelligence.json        2      Select_Web_Lists_Annotated                           Select
02_scope_site_and_web_intelligence.json        2      Set_varAllListsRaw_Append                            Foreach
02_scope_site_and_web_intelligence.json        3        Append_Set_varAllListsRaw_Append                   AppendToArrayVariable
02_scope_site_and_web_intelligence.json        2      Select_Sub_Web_Urls                                  Select
02_scope_site_and_web_intelligence.json        2      Filter_Sub_Web_Urls                                  Query
02_scope_site_and_web_intelligence.json        2      Set_varWebQueue_Enqueue                              Foreach
02_scope_site_and_web_intelligence.json        3        Append_Set_varWebQueue_Enqueue                     AppendToArrayVariable
02_scope_site_and_web_intelligence.json        2      Append_Web_Capture_Record                            AppendToArrayVariable
02_scope_site_and_web_intelligence.json        2      Compose_Web_Stage_Statuses                           Compose
02_scope_site_and_web_intelligence.json        2      Filter_Web_Stage_Errors                              Query
02_scope_site_and_web_intelligence.json        2      Set_varSPInventoryErrors_Web                         Foreach
02_scope_site_and_web_intelligence.json        3        Append_Set_varSPInventoryErrors_Web                AppendToArrayVariable
02_scope_site_and_web_intelligence.json        2      Set_varWebTraversalDone                              SetVariable
02_scope_site_and_web_intelligence.json        1    Condition_Warn_Web_Traversal_Cap                       If
02_scope_site_and_web_intelligence.json        2      Append_Warning_Traversal_Cap                         AppendToArrayVariable
02_scope_site_and_web_intelligence.json        1    Compose_Site_And_Web_Checkpoint                        Compose
03_scope_list_deep_capture.json                0  Scope_GET_03_List_And_Library_Deep_Capture               Scope
03_scope_list_deep_capture.json                1    Compose_Base_Template_Catalog                          Compose
03_scope_list_deep_capture.json                1    Compose_List_Collection_Plan_Template                  Compose
03_scope_list_deep_capture.json                1    Filter_Lists_For_Deep_Capture                          Query
03_scope_list_deep_capture.json                1    Apply_to_each_List_Or_Library                          Foreach
03_scope_list_deep_capture.json                2      Set_varListCollections_Reset                         SetVariable
03_scope_list_deep_capture.json                2      Set_varListRetrievalStatus_Reset                     SetVariable
03_scope_list_deep_capture.json                2      Filter_List_Collection_Plan                          Query
03_scope_list_deep_capture.json                2      Select_List_Collection_Plan                          Select
03_scope_list_deep_capture.json                2      Apply_to_each_List_Collection                        Foreach
03_scope_list_deep_capture.json                3        Set_varCollectionAccumulator_Reset_List            SetVariable
03_scope_list_deep_capture.json                3        Set_varCollectionNextUri_Seed_List                 SetVariable
03_scope_list_deep_capture.json                3        Set_varCollectionPagingDone_Reset_List             SetVariable
03_scope_list_deep_capture.json                3        Until_List_Collection_Paged                        Until
03_scope_list_deep_capture.json                4          GET_List_Collection_Page                         OpenApiConnection
03_scope_list_deep_capture.json                4          Compose_List_Collection_Page_Items               Compose
03_scope_list_deep_capture.json                4          Set_varCollectionAccumulator_Append_List         Foreach
03_scope_list_deep_capture.json                5            Append_Set_varCollectionAccumulator_Append_List AppendToArrayVariable
03_scope_list_deep_capture.json                4          Compose_List_Collection_Next_Link                Compose
03_scope_list_deep_capture.json                4          Set_varCollectionNextUri_Next_List               SetVariable
03_scope_list_deep_capture.json                4          Set_varCollectionPagingDone_List                 SetVariable
03_scope_list_deep_capture.json                3        Set_varListCollections_Store                       SetVariable
03_scope_list_deep_capture.json                3        Set_varListRetrievalStatus_Store                   SetVariable
03_scope_list_deep_capture.json                3        Condition_Log_List_Collection_Error                If
03_scope_list_deep_capture.json                4          Append_Error_List_Collection                     AppendToArrayVariable
03_scope_list_deep_capture.json                2      Select_Normalized_Fields_For_Current_List            Select
03_scope_list_deep_capture.json                2      Filter_Custom_Metadata_Fields                        Query
03_scope_list_deep_capture.json                2      Filter_Hidden_Fields                                 Query
03_scope_list_deep_capture.json                2      Filter_Required_Fields                               Query
03_scope_list_deep_capture.json                2      Filter_Governance_Fields                             Query
03_scope_list_deep_capture.json                2      Filter_Base_Template_Match                           Query
03_scope_list_deep_capture.json                2      Compose_Object_Kind                                  Compose
03_scope_list_deep_capture.json                2      Compose_Object_Category                              Compose
03_scope_list_deep_capture.json                2      Compose_Architecture_Classification                  Compose
03_scope_list_deep_capture.json                2      Compose_Is_Business_Object                           Compose
03_scope_list_deep_capture.json                2      Compose_Business_Relevance                           Compose
03_scope_list_deep_capture.json                2      Compose_List_Root_Folder                             Compose
03_scope_list_deep_capture.json                2      Compose_Retention_Label                              Compose
03_scope_list_deep_capture.json                2      Compose_Storage_Metrics                              Compose
03_scope_list_deep_capture.json                2      Compose_Review_Reason                                Compose
03_scope_list_deep_capture.json                2      Compose_Recommended_Action                           Compose
03_scope_list_deep_capture.json                2      Append_Normalized_Object                             AppendToArrayVariable
03_scope_list_deep_capture.json                2      Append_Inventory_Row                                 AppendToArrayVariable
03_scope_list_deep_capture.json                2      Compose_Quality_Candidates                           Compose
03_scope_list_deep_capture.json                2      Filter_Quality_Findings_Applicable                   Query
03_scope_list_deep_capture.json                2      Select_Quality_Findings_Clean                        Select
03_scope_list_deep_capture.json                2      Set_varQualityFindings_Append                        Foreach
03_scope_list_deep_capture.json                3        Append_Set_varQualityFindings_Append               AppendToArrayVariable
03_scope_list_deep_capture.json                2      Compose_List_Warning_Candidates                      Compose
03_scope_list_deep_capture.json                2      Filter_List_Warnings_Applicable                      Query
03_scope_list_deep_capture.json                2      Select_List_Warnings_Clean                           Select
03_scope_list_deep_capture.json                2      Set_varInventoryWarnings_Append                      Foreach
03_scope_list_deep_capture.json                3        Append_Set_varInventoryWarnings_Append             AppendToArrayVariable
03_scope_list_deep_capture.json                1    Compose_Deep_Capture_Checkpoint                        Compose
04_scope_registers_reports_csv.json            0  Scope_BUILD_04_Registers_Reports_And_Csv                 Scope
04_scope_registers_reports_csv.json            1    Compose_Run_Summary                                    Compose
04_scope_registers_reports_csv.json            1    Compose_Full_Raw_Metadata                              Compose
04_scope_registers_reports_csv.json            1    Compose_Normalized_Register                            Compose
04_scope_registers_reports_csv.json            1    Filter_Findings_High                                   Query
04_scope_registers_reports_csv.json            1    Filter_Findings_Medium                                 Query
04_scope_registers_reports_csv.json            1    Filter_Findings_Low                                    Query
04_scope_registers_reports_csv.json            1    Set_varFindingsOrdered_High                            Foreach
04_scope_registers_reports_csv.json            2      Append_Set_varFindingsOrdered_High                   AppendToArrayVariable
04_scope_registers_reports_csv.json            1    Set_varFindingsOrdered_Medium                          Foreach
04_scope_registers_reports_csv.json            2      Append_Set_varFindingsOrdered_Medium                 AppendToArrayVariable
04_scope_registers_reports_csv.json            1    Set_varFindingsOrdered_Low                             Foreach
04_scope_registers_reports_csv.json            2      Append_Set_varFindingsOrdered_Low                    AppendToArrayVariable
04_scope_registers_reports_csv.json            1    Compose_Findings_Ordered                               Compose
04_scope_registers_reports_csv.json            1    Compose_Quality_Findings_Payload                       Compose
04_scope_registers_reports_csv.json            1    Select_Html_Rows_Objects                               Select
04_scope_registers_reports_csv.json            1    Select_Html_Rows_Findings                              Select
04_scope_registers_reports_csv.json            1    Select_Html_Rows_Webs                                  Select
